iso-639-3	name	value	description	latitude	longitude	family
arr	Karo (Brazil)	?	Not known	-10.33424	-61.56908	Tupian
knm	Katukína-Kanamarí	?	Not known	-6.45399	-68.7678	Katukinan
xwa	Kwaza	1	true	-11.6666666667	-61.1833333333	Kwaza
lkd	Lakondê	?	Not known	-13.2	-60.5	Nambiquaran
lec	Leco	?	Not known	-15.00921	-67.88181	Leko
arw	Lokono	?	Not known	5.6429525	-56.924345	Arawakan
mpu	Makuráp	?	Not known	-11.87014	-64.32007	Tupian
arn	Mapudungun	?	Not known	-38.73917	-71.27701	Araucanian
mcf	Matsés	1	true	-5.739145	-72.628105	Pano-Tacanan
omc	Mochica	?	Not known	-8.01666666667	-79.0	Mochica
moc	Mocoví	1	true	-28.09699	-60.41448	Guaicuruan
cas	Mosetén	0	false	-14.64448	-67.83756	Moseten-Chimane
mzp	Movima	?	Not known	-13.81152	-65.63482	Movima
myu	Mundurukú	1	true	-8.41095	-57.69099	Tupian
myr	Muniche	?	Not known	-5.80546	-76.28113	Muniche
yrl	Nhengatu	?	Not known	1.04502666667	-66.9645533333	Tupian
shb	Ninam	?	Not known	4.038935	-62.780115	Yanomamic
qvn	North Junín Quechua	?	Not known	-11.21321	-75.81275	Quechuan
emp	Northern Emberá	?	Not known	7.12761	-77.57396	Chocoan
qvp	Pacaraos Quechua	1	true	-11.14278	-76.73046	Quechuan
pab	Parecís	1	true	-14.59295	-57.40595	Arawakan
plg	Pilagá	?	Not known	-25.00585	-60.15372	Guaicuruan
pui	Puinave	?	Not known	3.92974	-67.6886	Puinave
pbb	Páez	?	Not known	2.61516	-76.31254	Paez
rkb	Rikbaktsa	1	true	-11.18865	-58.19424	Nuclear-Macro-Je
sae	Sabanê	?	Not known	-12.98572	-60.33498	Nambiquaran
skf	Sakirabia	?	Not known	-13.05395	-62.09274	Tupian
qxl	Salasaca Highland Quichua	1	true	-1.35447	-78.39531	Quechuan
qvs	San Martín Quechua	?	Not known	-6.9582	-76.6608	Quechuan
qus	Santiago del Estero Quichua	1	true	-27.82096	-63.24657	Quechuan
mav	Sateré-Mawé	1	true	-3.63897	-56.87489	Tupian
cbt	Shawi	0	false	-5.63764	-76.82525	Cahuapanan
shp	Shipibo-Conibo	1	true	-7.17105	-74.82192	Pano-Tacanan
jiv	Shuar	?	Not known	-3.45136	-78.18923	Chicham
quh	South Bolivian Quechua	1	true	-20.920095	-66.333145	Quechuan
qup	Southern Pastaza Quechua	?	Not known	-3.32733	-76.52697	Quechuan
tpj	Tapieté	1	true	-21.4168866667	-62.68397	Tupian
tae	Tariana	?	Not known	0.440205	-68.904165	Arawakan
teh	Tehuelche	?	Not known	-47.57963	-68.32346	Chonan
quw	Tena Lowland Quichua	1	true	-0.76271	-77.54039	Quechuan
tri	Trió	1	true	2.53616	-55.759935	Cariban
tpy	Trumai	N/A	Not Applicable	-11.81195	-53.5717	Trumai
cof	Tsafiki	?	Not known	-0.21181	-79.23468	Barbacoan
ura	Urarina	1	true	-4.44006	-75.42107	Urarina
ure	Uru	?	Not known	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	?	Not known	7.50850666667	-59.3527633333	Warao
pav	Wari	0	false	-10.69948	-64.56152	Chapacuran
wyr	Wayoró	1	true	-12.69447	-61.30635	Tupian
mtp	Wichí Lhamtés Nocten	N/A	Not Applicable	-21.987995	-63.59711	Matacoan
xav	Xavánte	1	true	-14.30173	-52.43669	Nuclear-Macro-Je
yaa	Yaminahua	?	Not known	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	?	Not known	-10.54539	-75.31497	Arawakan
yuz	Yuracaré	1	true	-16.74788	-65.12241	Yurakare
